platform,game,clip_id,title,channel,channel_url,creator,view_count,duration_sec,created_at,url,thumbnail_url
youtube,,YT_abc123def,Best Twitch Clips of The Week #247,Daily Dose of Twitch,,Daily Dose of Twitch,8900000,0,4 days ago,https://www.youtube.com/watch?v=YT_abc123def,https://i.ytimg.com/vi/YT_abc123def/hqdefault.jpg
youtube,,YT_xyz789ghi,Kick Clips That Broke The Internet,Kick Highlights,,Kick Highlights,6700000,0,6 days ago,https://www.youtube.com/watch?v=YT_xyz789ghi,https://i.ytimg.com/vi/YT_xyz789ghi/hqdefault.jpg
youtube,,YT_mno456pqr,xQc Most Viewed Moments 2025,xQc Highlights,,xQc Highlights,5500000,0,1 week ago,https://www.youtube.com/watch?v=YT_mno456pqr,https://i.ytimg.com/vi/YT_mno456pqr/hqdefault.jpg
kick,Grand Theft Auto V,KickClip001,xQc goes full rage mode on NoPixel server,xqc,https://kick.com/xqc,xqc,5100000,60,2025-05-08T03:15:00Z,https://kick.com/xqc/clips/KickClip001,https://clips.kick.com/clips/KickClip001/thumbnail.jpg
twitch,Just Chatting,TwitchClip001,xQc reacts to insane IRL moment,xQcOW,https://twitch.tv/xqcow,viewer_clip1,4820000,58,2025-05-06T14:22:11Z,https://clips.twitch.tv/TwitchClip001,https://clips-media-assets2.twitch.tv/TwitchClip001-preview-480x272.jpg
kick,Just Chatting,KickClip002,Adin Ross celebrity guest goes viral,adinross,https://kick.com/adinross,adinross,4300000,48,2025-05-09T22:00:00Z,https://kick.com/adinross/clips/KickClip002,https://clips.kick.com/clips/KickClip002/thumbnail.jpg
youtube,,YT_rst012uvw,Streamers React to Crazy Clip Compilations,StreamerMoments,,StreamerMoments,4100000,0,3 days ago,https://www.youtube.com/watch?v=YT_rst012uvw,https://i.ytimg.com/vi/YT_rst012uvw/hqdefault.jpg
twitch,Fortnite,TwitchClip002,Ninja 200m snipe no scope,Ninja,https://twitch.tv/ninja,clips_fan22,3910000,34,2025-05-07T20:05:44Z,https://clips.twitch.tv/TwitchClip002,https://clips-media-assets2.twitch.tv/TwitchClip002-preview-480x272.jpg
kick,Slots,KickClip003,Trainwreck $500k jackpot hit live,trainwreckstv,https://kick.com/trainwreckstv,trainwreckstv,3800000,35,2025-05-07T01:30:00Z,https://kick.com/trainwreckstv/clips/KickClip003,https://clips.kick.com/clips/KickClip003/thumbnail.jpg
youtube,,YT_jkl345mno,Ninja vs MrBeast — Fortnite 1v1 highlights,Gaming Central,,Gaming Central,3600000,0,5 days ago,https://www.youtube.com/watch?v=YT_jkl345mno,https://i.ytimg.com/vi/YT_jkl345mno/hqdefault.jpg
twitch,Grand Theft Auto V,TwitchClip003,NoPixel RP goes completely off script,Sykkuno,https://twitch.tv/sykkuno,gtarp_clips,3450000,72,2025-05-08T18:11:30Z,https://clips.twitch.tv/TwitchClip003,https://clips-media-assets2.twitch.tv/TwitchClip003-preview-480x272.jpg
kick,IRL,KickClip004,N3on confronted at public event,n3on,https://kick.com/n3on,n3on,3100000,90,2025-05-06T14:00:00Z,https://kick.com/n3on/clips/KickClip004,https://clips.kick.com/clips/KickClip004/thumbnail.jpg
twitch,League of Legends,TwitchClip004,Tyler1 hits Challenger — instant freakout,loltyler1,https://twitch.tv/loltyler1,lol_moments,2980000,45,2025-05-09T22:40:00Z,https://clips.twitch.tv/TwitchClip004,https://clips-media-assets2.twitch.tv/TwitchClip004-preview-480x272.jpg
